127.0.0.1 - - [05/Nov/2025:10:41:39 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/index.jsp HTTP/1.1" 200 21474
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/slider/anhbia1.png HTTP/1.1" 200 286872
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/slider/anhbia2.png HTTP/1.1" 200 641979
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/slider/anhbia3.png HTTP/1.1" 200 120923
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_2.png HTTP/1.1" 200 305352
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_1.png HTTP/1.1" 200 570585
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_3.png HTTP/1.1" 200 526488
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_6.png HTTP/1.1" 200 654504
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_4.png HTTP/1.1" 200 669980
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_8.png HTTP/1.1" 200 691046
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_7.png HTTP/1.1" 200 700706
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_5.png HTTP/1.1" 200 333921
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_9.png HTTP/1.1" 200 721287
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_11.png HTTP/1.1" 200 409383
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_10.png HTTP/1.1" 200 732407
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /Du_an_book/img/product/anh_sach_12.png HTTP/1.1" 200 276379
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:41:44 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:42:18 +0700] "GET /Du_an_book/dangNhap.jsp HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:42:18 +0700] "GET /Du_an_book/css/sign_in.css HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:42:18 +0700] "GET /Du_an_book/img/product/BookStore%20(1).png HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:42:29 +0700] "GET /Du_an_book/dangKy.jsp HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:42:45 +0700] "GET /Du_an_book/dangNhap.jsp HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:43:34 +0700] "GET /Du_an_book/dangKy.jsp HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:04 +0700] "POST /Du_an_book/do_register HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:04 +0700] "GET /Du_an_book/img/product/BookStore%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:04 +0700] "GET /Du_an_book/css/sign_in.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "POST /Du_an_book/dang_nhap HTTP/1.1" 200 21512
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/slider/anhbia2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/slider/anhbia3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/slider/anhbia1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:12 +0700] "GET /Du_an_book/img/product/anh_sach_7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:35 +0700] "POST /Du_an_book/dang_nhap HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:36 +0700] "GET /Du_an_book/quanLySanPham.jsp HTTP/1.1" 200 12773
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:42 +0700] "GET /Du_an_book/quanLySanPham.jsp HTTP/1.1" 200 12773
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:43 +0700] "GET /Du_an_book/quanLyDonHang.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:44 +0700] "GET /Du_an_book/doanhThu.jsp HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [05/Nov/2025:10:45:46 +0700] "GET /Du_an_book/quanLySanPham.jsp HTTP/1.1" 200 12773
